********************************************************************************
LOGGING TIME: 20151110_235332
CLIENT IP: 127.0.1.1
USERNAME: vds
OS: Linux
ARCHITECTURE: amd64
VERSION: 3.16.0-52-generic
RESOLUTION: 1366.0 768.0
********************************************************************************
MM, 129.041, 489.751, 0
MM, 126.542, 486.966, 10
MM, 124.285, 485.168, 19
MM, 126.214, 485.112, 11
MM, 129.619, 486.026, 10
MM, 136.686, 486.061, 10
MM, 149.566, 483.334, 10
MM, 168.769, 477.253, 10
MM, 194.384, 466.500, 9
MM, 234.654, 447.861, 11
MM, 277.773, 425.489, 9
MM, 331.828, 396.640, 10
MM, 392.027, 363.905, 10
MM, 452.031, 332.219, 10
MM, 509.293, 303.553, 10
MM, 558.299, 282.316, 10
MM, 594.227, 272.035, 10
MM, 628.952, 263.224, 10
MM, 661.994, 255.869, 10
MM, 692.798, 250.325, 10
MM, 721.738, 246.296, 10
MM, 756.347, 237.820, 10
MM, 788.994, 230.558, 10
MM, 820.779, 223.815, 10
MM, 852.274, 217.043, 10
MM, 882.511, 210.863, 10
MM, 911.441, 203.642, 9
MM, 933.459, 205.122, 11
MM, 944.477, 213.215, 10
MM, 949.977, 223.487, 9
MM, 952.488, 238.359, 11
MM, 946.123, 257.923, 10
MM, 936.202, 278.025, 9
MM, 926.555, 298.345, 10
MM, 914.478, 319.730, 10
MM, 898.377, 343.077, 10
MM, 880.052, 366.818, 10
MM, 861.857, 389.255, 10
MM, 849.383, 408.247, 14
MM, 832.441, 425.866, 8
MM, 814.479, 443.449, 8
MM, 797.484, 460.191, 10
MM, 781.877, 474.834, 10
MM, 765.760, 489.071, 10
MM, 747.117, 504.482, 10
MM, 732.138, 516.440, 10
MM, 728.914, 518.184, 10
MM, 729.625, 516.284, 10
MM, 732.983, 511.918, 10
MM, 740.260, 504.304, 9
MM, 749.442, 494.614, 10
MM, 760.080, 483.083, 11
MM, 783.841, 461.465, 9
MM, 821.739, 428.385, 10
MM, 876.144, 382.338, 10
MM, 935.045, 332.725, 11
MM, 985.539, 290.604, 9
MM, 1024.225, 257.859, 10
MM, 1052.539, 233.410, 10
MM, 1070.300, 217.297, 10
MM, 1080.505, 207.111, 10
MM, 1084.216, 202.104, 10
MM, 1081.284, 202.789, 10
MM, 1074.606, 206.881, 10
MM, 1064.632, 214.144, 10
MM, 1052.644, 223.600, 9
MM, 1040.944, 233.285, 10
MM, 1028.451, 244.340, 11
MM, 1014.315, 257.066, 9
MM, 998.515, 271.634, 10
MM, 986.966, 283.380, 10
MM, 979.054, 292.820, 10
MM, 972.712, 302.101, 11
MM, 965.240, 312.074, 9
MM, 964.733, 317.390, 10
MM, 970.702, 318.064, 10
MM, 981.817, 315.243, 10
MM, 1000.834, 306.732, 10
MM, 1021.328, 298.028, 10
MM, 1041.142, 290.802, 10
MM, 1055.848, 287.510, 9
MM, 1074.308, 284.245, 11
MM, 1102.267, 273.416, 10
MM, 1137.684, 256.399, 9
MM, 1180.080, 236.792, 11
MM, 1219.848, 218.297, 10
MM, 1258.294, 199.545, 9
MM, 1276.532, 199.035, 11
MM, 1276.017, 211.722, 10
MM, 1265.522, 230.406, 9
MM, 1255.323, 248.694, 10
MM, 1245.869, 265.168, 10
MM, 1235.002, 281.516, 10
MM, 1221.873, 298.045, 10
MM, 1206.874, 314.045, 10
MM, 1190.515, 329.352, 10
MM, 1174.601, 342.605, 10
MM, 1158.804, 354.135, 10
MM, 1143.521, 363.871, 10
MM, 1128.533, 371.046, 13
MM, 1115.367, 378.078, 7
MM, 1105.236, 380.916, 9
MM, 1100.592, 377.326, 11
MM, 1099.787, 370.607, 10
MM, 1100.562, 362.962, 9
MM, 1101.872, 353.151, 11
MM, 1105.716, 342.783, 9
MM, 1111.407, 330.314, 10
MM, 1113.602, 320.062, 11
MM, 1115.001, 312.176, 9
MM, 1119.517, 301.606, 10
MM, 1122.969, 288.004, 17
MM, 1128.876, 279.357, 7
MM, 1134.940, 270.836, 7
MM, 1137.798, 264.150, 9
MM, 1137.519, 259.947, 10
MM, 1136.114, 257.236, 10
MM, 1134.121, 255.650, 10
MM, 1133.068, 254.016, 10
MM, 1132.423, 252.706, 10
MM, 1132.165, 251.704, 10
MM, 1131.663, 251.508, 10
MM, 1130.891, 252.098, 9
MM, 1130.380, 253.099, 11
MM, 1129.569, 254.861, 10
MM, 1128.869, 257.119, 10
MM, 1129.173, 258.973, 10
MM, 1130.882, 260.149, 10
MM, 1132.244, 262.049, 10
MM, 1134.054, 263.898, 10
MM, 1136.988, 264.845, 9
MM, 1139.319, 266.904, 10
MM, 1141.834, 269.111, 10
MM, 1144.492, 271.430, 10
MM, 1147.322, 273.684, 10
MM, 1149.439, 276.573, 10
MM, 1151.581, 279.278, 10
MM, 1152.970, 282.384, 10
MM, 1154.669, 284.941, 10
MM, 1155.604, 287.684, 10
MM, 1156.872, 289.694, 10
MM, 1157.228, 291.978, 10
MM, 1156.693, 294.552, 10
MM, 1155.597, 297.679, 10
MM, 1155.859, 300.888, 10
MM, 1156.088, 305.070, 10
MM, 1155.919, 308.936, 9
MM, 1153.129, 314.102, 10
MM, 1150.810, 317.849, 10
MM, 1148.264, 321.210, 10
MM, 1146.270, 324.215, 10
MM, 1143.992, 327.993, 11
MM, 1143.710, 329.769, 9
MM, 1142.714, 331.772, 10
MM, 1140.320, 334.255, 10
MM, 1138.630, 335.705, 10
MM, 1137.456, 336.363, 10
MM, 1137.055, 336.044, 10
MM, 1136.472, 335.579, 10
MM, 1135.423, 332.744, 40
MM, 1136.492, 331.596, 10
MM, 1138.536, 330.223, 10
MM, 1139.845, 330.265, 10
MM, 1140.500, 330.582, 229
MM, 1127.696, 324.758, 10
MM, 1106.558, 321.056, 10
MM, 1073.636, 320.322, 10
MM, 1029.778, 320.435, 10
MM, 974.891, 322.117, 10
MM, 906.199, 334.750, 9
MM, 818.262, 350.208, 11
MM, 731.153, 367.530, 10
